employeeExternalId,locationId,locationExternalId,type,currentBalance,availableBalance,accrued,carryOverBalance,taken
723357,326e3645-f63d-4b96-898b-0d49a418133b,657,Take 5 Day,8,8,0,8,0
840586,0d2f7aad-5fe2-44e4-b17f-67dd8ddefb5b,753,Personal,40,40,0,40,0
840586,0d2f7aad-5fe2-44e4-b17f-67dd8ddefb5b,753,Vacation,0,0,0,0,0
840586,0d2f7aad-5fe2-44e4-b17f-67dd8ddefb5b,753,Take 5 Day,8,8,0,8,0
789942,6bef5aae-650e-4c65-9085-8054e6ab93db,417,Sick Earned,13.18,13.18,0,13.18,0
844659,e78b7c9d-f86d-4879-b0c1-495c4acf8b1b,5182,Vacation,15.38,15.38,0,15.38,0
844659,e78b7c9d-f86d-4879-b0c1-495c4acf8b1b,5182,Personal,40,40,0,40,0
844659,e78b7c9d-f86d-4879-b0c1-495c4acf8b1b,5182,Take 5 Day,8,8,0,8,0
726106,bca2cda5-e96b-40d8-9cb2-180e60f60342,492,Personal,56,56,0,56,0
726106,bca2cda5-e96b-40d8-9cb2-180e60f60342,492,Vacation,24,24,0,24,0
726106,bca2cda5-e96b-40d8-9cb2-180e60f60342,492,Take 5 Day,8,8,0,8,0
810126,0a1a9c8e-b44b-41a5-b9f2-3e7e9aee2f1a,1463,Vacation,0,0,0,0,0
810126,0a1a9c8e-b44b-41a5-b9f2-3e7e9aee2f1a,1463,CA Sick,48,48,0,48,0
810126,0a1a9c8e-b44b-41a5-b9f2-3e7e9aee2f1a,1463,Take 5 Day,8,8,0,8,0
810126,0a1a9c8e-b44b-41a5-b9f2-3e7e9aee2f1a,1463,WOW Week,0,0,0,0,0
203954,8c41625f-1f8e-43e2-9228-3a51810149f4,411,Vacation,16,16,0,16,0
203954,8c41625f-1f8e-43e2-9228-3a51810149f4,411,Personal,40,40,0,40,0
203954,8c41625f-1f8e-43e2-9228-3a51810149f4,411,Take 5 Day,8,8,0,8,0
703165,bf38da40-fe3d-4a88-b2c4-6fba4f41427e,6000,Personal,33,33,0,33,0
703165,bf38da40-fe3d-4a88-b2c4-6fba4f41427e,6000,Vacation,25,25,0,25,0
703165,bf38da40-fe3d-4a88-b2c4-6fba4f41427e,6000,Take 5 Day,9,9,0,9,0
841196,972282f4-13c3-4a60-857c-1cbdc8a01755,6218,Vacation,14.68,14.68,0,14.68,0
841196,972282f4-13c3-4a60-857c-1cbdc8a01755,6218,Personal,40,40,0,40,0
841196,972282f4-13c3-4a60-857c-1cbdc8a01755,6218,Take 5 Day,8,8,0,8,0
840454,db09afb3-242a-44bb-a3d0-217bf76a3531,5009,Vacation,0,0,0,0,0
840454,db09afb3-242a-44bb-a3d0-217bf76a3531,5009,Personal,40,40,0,40,0
840454,db09afb3-242a-44bb-a3d0-217bf76a3531,5009,Take 5 Day,8,8,0,8,0
838712,8e63a0cf-595a-446b-b395-338b6b40d9cc,744,Sick Earned,2.65,2.65,0,2.65,0
843554,3eef6aad-1550-4ac4-aa0c-7c88a264ea8c,8139,Sick Earned,5.48,5.48,0,5.48,0
792948,e288dd91-7501-40d4-a14b-1b98156d0d32,3023,Personal,36,36,0,36,0
792948,e288dd91-7501-40d4-a14b-1b98156d0d32,3023,Vacation,63,63,0,63,0
792948,e288dd91-7501-40d4-a14b-1b98156d0d32,3023,Take 5 Day,9,9,0,9,0
566099,2dcf443a-1b86-498c-85ee-2b951655e655,7029,Vacation,0,0,0,0,0
566099,2dcf443a-1b86-498c-85ee-2b951655e655,7029,Personal,40,40,0,40,0
566099,2dcf443a-1b86-498c-85ee-2b951655e655,7029,Take 5 Day,8,8,0,8,0
812554,9c363d3a-517e-416b-9974-e67cef0828e3,1437,CA Sick,9.6,9.6,0,9.6,0
779284,ad66408e-8b64-4ccd-9f89-15b9dcc83bac,1429,CA Sick,12.97,12.97,0,12.97,0
743377,445901ec-d94c-4949-95ee-3dc3d0e75752,304,Sick Earned,12,12,0,12,0
846258,62c9d7aa-41d3-4509-be7a-7196fa13c635,1434,CA Sick,1.73,1.73,0,1.73,0
583478,0effbfd3-4119-43df-ba89-d12a810e4aee,733,Vacation,38,38,0,38,0
583478,0effbfd3-4119-43df-ba89-d12a810e4aee,733,Personal,16,16,0,16,0
583478,0effbfd3-4119-43df-ba89-d12a810e4aee,733,Take 5 Day,8,8,0,8,0
762530,9d57ef23-680f-4ebf-9732-ddc7bb74983a,1325,CA Sick,22,22,0,22,0
803127,33971a1b-f67a-4732-9764-7ea0535bbdb5,1431,CA Sick,17.25,17.25,0,17.25,0
778638,0fc17e02-fd73-4257-a43c-fce2c6bab4fe,8060,Sick Earned,8,8,0,8,0
727792,0a88d4cb-c1ef-457a-85fc-0511484e05f5,660,Vacation,24,24,0,24,0
727792,0a88d4cb-c1ef-457a-85fc-0511484e05f5,660,Personal,40,40,0,40,0
727792,0a88d4cb-c1ef-457a-85fc-0511484e05f5,660,Take 5 Day,8,8,0,8,0
618755,c96eff92-f2eb-459b-b0fb-f9d504f820dd,88000,Vacation,120,120,120,0,0
618755,c96eff92-f2eb-459b-b0fb-f9d504f820dd,88000,Personal,40,40,40,0,0
618755,c96eff92-f2eb-459b-b0fb-f9d504f820dd,88000,Take 5 Day,0,0,0,0,0
618755,c96eff92-f2eb-459b-b0fb-f9d504f820dd,88000,WOW Week,0,0,0,0,0
825712,f19dce61-4cd0-405c-b401-7e7420431621,8191,Sick Earned,14.55,14.55,0,14.55,0
741080,876573fb-dfd2-41e2-90d0-bc031f2cb63b,7051,Vacation,29.13,29.13,0,29.13,0
741080,876573fb-dfd2-41e2-90d0-bc031f2cb63b,7051,Personal,40,40,0,40,0
741080,876573fb-dfd2-41e2-90d0-bc031f2cb63b,7051,Take 5 Day,8,8,0,8,0
800627,843b934a-82d9-4560-b58b-c832ef5a525a,124,Sick Earned,28.08,28.08,0,28.08,0
803540,c6bb862c-c32b-4be5-9047-cdbaed77825f,8025,Sick Earned,16,16,0,16,0
771126,a9a4a40c-3c93-4897-80fa-a8dc3ea168f1,1109,Vacation,24,24,0,24,0
771126,a9a4a40c-3c93-4897-80fa-a8dc3ea168f1,1109,Personal,31,31,0,31,0
771126,a9a4a40c-3c93-4897-80fa-a8dc3ea168f1,1109,Take 5 Day,8,8,0,8,0
837759,e1f56dd3-e509-49e2-950a-30031ea147e1,810,Vacation,0,0,0,0,0
837759,e1f56dd3-e509-49e2-950a-30031ea147e1,810,Personal,40,40,0,40,0
837759,e1f56dd3-e509-49e2-950a-30031ea147e1,810,Take 5 Day,8,8,0,8,0
842317,6b3490d9-a195-4b90-adc5-6e93bb9e603f,7146,Personal,0,0,0,0,0
788818,30f48a17-f4b6-4add-ba3c-b7d13b372f1a,8056,Sick Earned,7.83,7.83,0,7.83,0
837345,ec4b7361-6e09-4222-8d9c-c5a0ce149069,8202,Sick Earned,3.52,3.52,0,3.52,0
726866,2e7f677e-cc8b-4922-aa79-9190017f7f6e,86000,Vacation,120,120,120,0,0
726866,2e7f677e-cc8b-4922-aa79-9190017f7f6e,86000,Personal,40,40,40,0,0
726866,2e7f677e-cc8b-4922-aa79-9190017f7f6e,86000,Take 5 Day,0,0,0,0,0
726866,2e7f677e-cc8b-4922-aa79-9190017f7f6e,86000,WOW Week,0,0,0,0,0
520831,8851dca0-6181-428e-b945-34d4cc54f39f,72023,Vacation,80,80,0,80,0
520831,8851dca0-6181-428e-b945-34d4cc54f39f,72023,Personal,40,40,0,40,0
520831,8851dca0-6181-428e-b945-34d4cc54f39f,72023,Take 5 Day,8,8,0,8,0
810436,548cd7c6-0903-41c0-b8cc-556b7cc1a9ec,929,Vacation,16,16,0,16,0
810436,548cd7c6-0903-41c0-b8cc-556b7cc1a9ec,929,Personal,24,24,0,24,0
810436,548cd7c6-0903-41c0-b8cc-556b7cc1a9ec,929,Take 5 Day,8,8,0,8,0
736973,e993bfe7-9d97-4b1d-8e77-70054314a163,526,Vacation,8,8,0,8,0
736973,e993bfe7-9d97-4b1d-8e77-70054314a163,526,Personal,40,40,0,40,0
736973,e993bfe7-9d97-4b1d-8e77-70054314a163,526,Take 5 Day,8,8,0,8,0
739290,45a5b35f-0dfa-4f46-9085-7c9b8fe1f74b,425,Sick Earned,40,40,0,40,0
533218,2ef794d2-68bc-4744-931b-0a01d9ae0d93,72053,Vacation,119,119,0,119,0
533218,2ef794d2-68bc-4744-931b-0a01d9ae0d93,72053,Personal,40,40,0,40,0
533218,2ef794d2-68bc-4744-931b-0a01d9ae0d93,72053,Take 5 Day,8,8,0,8,0
832461,147ecff4-439f-4922-a65b-e8f27064b39a,831,Personal,18,18,0,18,0
832461,147ecff4-439f-4922-a65b-e8f27064b39a,831,Vacation,45.37,45.37,0,45.37,0
832461,147ecff4-439f-4922-a65b-e8f27064b39a,831,Take 5 Day,9,9,0,9,0
826089,bfde766d-dd64-4648-b33e-13f8be8b9b00,8127,Sick Earned,0,0,0,0,0
841886,07169776-011e-4681-90f6-44eae633bb2c,8096,Sick Earned,0,0,0,0,0
620118,2f9666a4-c5a1-4dc5-bba6-c062b5771ebd,72026,Vacation,58,58,0,58,0
620118,2f9666a4-c5a1-4dc5-bba6-c062b5771ebd,72026,Personal,12,12,0,12,0
620118,2f9666a4-c5a1-4dc5-bba6-c062b5771ebd,72026,Take 5 Day,8,8,0,8,0
833303,a6ef24db-4c4a-41db-9cf5-b1de3ee70507,342,Sick Earned,0,0,0,0,0
776759,ad298ad6-ee3b-415f-90e4-0f924f2b58c4,6037,Vacation,3,3,0,3,0
776759,ad298ad6-ee3b-415f-90e4-0f924f2b58c4,6037,Personal,32,32,0,32,0
776759,ad298ad6-ee3b-415f-90e4-0f924f2b58c4,6037,Take 5 Day,8,8,0,8,0
829261,e0248f45-d4b4-40e2-93f9-d9994c809b61,317,Sick Earned,6.62,6.62,0,6.62,0
821174,436b78b0-44d8-49bf-a227-a9dc788e0999,727,Personal,12.13,12.13,0,12.13,0
826689,e6cda919-dd9c-4387-9b08-c0151fc1f2fc,739,Personal,0,0,0,0,0
739292,f0aa977c-54ae-4a1c-bce7-66ea984bdbe9,319,Sick Earned,6,6,0,6,0
805938,48de30e4-0365-4420-9664-f35b05f574f7,8052,Sick Earned,18,18,0,18,0
843721,548cd7c6-0903-41c0-b8cc-556b7cc1a9ec,929,Vacation,14.62,14.62,0,14.62,0
843721,548cd7c6-0903-41c0-b8cc-556b7cc1a9ec,929,Personal,40,40,0,40,0
843721,548cd7c6-0903-41c0-b8cc-556b7cc1a9ec,929,Take 5 Day,8,8,0,8,0
797060,a5d0c94b-6550-4cde-ba40-a3c536757202,72056,Vacation,80,80,0,80,0
797060,a5d0c94b-6550-4cde-ba40-a3c536757202,72056,Personal,40,40,0,40,0
797060,a5d0c94b-6550-4cde-ba40-a3c536757202,72056,Take 5 Day,8,8,0,8,0
825282,04ad315a-18a5-4a0d-9dbf-e8f4ac578bda,1462,CA Sick,0,0,0,0,0
840057,69b49b6b-22aa-4ce0-a4c7-66b22cb4961f,8011,Sick Earned,0,0,0,0,0
